,receptor,family,gene
41,β2-adrenoceptor,Adrenoceptors,['ADRB2']
42,β3-adrenoceptor,Adrenoceptors,['ENSGALG00000019018']
43,AT2 receptor,Angiotensin receptors,['AGTR2']
44,apelin receptor,Apelin receptor,['APLNR']
45,BB1 receptor,Bombesin receptors,['NMBR']
46,BB2 receptor,Bombesin receptors,['GRPR']
47,BB3 receptor,Bombesin receptors,['BRS3']
48,B1 receptor,Bradykinin receptors,['BDKRB1']
49,B2 receptor,Bradykinin receptors,['BDKRB2']
50,CT receptor,Calcitonin receptors,['CALCR']
51,calcitonin receptor-like receptor,Calcitonin receptors,['CALCRL']
52,CaS receptor,Calcium-sensing receptor,['CASR']
53,CB1 receptor,Cannabinoid receptors,['CNR1']
54,CB2 receptor,Cannabinoid receptors,['CNR2']
55,chemerin receptor 1,Chemerin receptors,['CMKLR1']
56,chemerin receptor 2,Chemerin receptors,['GPR1']
57,CCR1,Chemokine receptors,"['CCR5', 'CCR2']"
58,CCR3,Chemokine receptors,"['CCR5', 'CCR2']"
59,CCR4,Chemokine receptors,['CCR4']
60,CCR5,Chemokine receptors,"['CCR5', 'CCR2']"
61,CCR6,Chemokine receptors,['CCR6']
62,CCR7,Chemokine receptors,['CCR7']
63,CCR8,Chemokine receptors,"['CCR8L', 'CCR8']"
64,CCR9,Chemokine receptors,['CCR9']
65,CCR10,Chemokine receptors,['CCR10']
66,CXCR1,Chemokine receptors,['CXCR1']
67,CXCR2,Chemokine receptors,['CXCR1']
68,CXCR4,Chemokine receptors,['CXCR4']
69,CXCR5,Chemokine receptors,['CXCR5']
70,CX3CR1,Chemokine receptors,['CX3CR1']
71,XCR1,Chemokine receptors,['XCR1']
72,ACKR2,Chemokine receptors,['ACKR2']
73,ACKR3,Chemokine receptors,['CXCR7']
74,ACKR4,Chemokine receptors,['ACKR4']
75,CCRL2,Chemokine receptors,"['CCR5', 'CCR2']"
76,CCK1 receptor,Cholecystokinin receptors,['CCKAR']
77,CCK2 receptor,Cholecystokinin receptors,['CCKBR']
78,BB3 receptor,Class A Orphans,['BRS3']
79,GPR6,Class A Orphans,['GPR6']
80,GPR12,Class A Orphans,['GPR12']
81,GPR15,Class A Orphans,['GPR15']
82,GPR17,Class A Orphans,['ENSGALG00000050460']
83,GPR18,Class A Orphans,['GPR18']
84,GPR19,Class A Orphans,['GPR19']
85,GPR21,Class A Orphans,['GPR21']
86,GPR26,Class A Orphans,['GPR26']
87,GPR27,Class A Orphans,['GPR27']
88,GPR34,Class A Orphans,['GPR34']
89,GPR35,Class A Orphans,"['ENSGALG00000020986', 'ENSGALG00000047316']"
90,GPR37,Class A Orphans,['GPR37']
91,GPR37L1,Class A Orphans,['GPR37L1']
92,GPR39,Class A Orphans,['GPR39']
93,GPR50,Class A Orphans,['GPR50']
94,GPR55,Class A Orphans,['GPR55']
95,GPR61,Class A Orphans,['GPR61']
96,GPR62,Class A Orphans,['GPR62']
97,GPR63,Class A Orphans,['GPR63']
98,GPR65,Class A Orphans,['GPR65']
99,GPR68,Class A Orphans,"['GPR68', 'GPR68']"
100,GPR75,Class A Orphans,['GPR75']
101,GPR83,Class A Orphans,['GPR83']
102,GPR85,Class A Orphans,['GPR85']
103,GPR87,Class A Orphans,['GPR87']
104,GPR88,Class A Orphans,['GPR88']
105,GPR119,Class A Orphans,['GPR119']
106,GPR135,Class A Orphans,['GPR135']
107,GPR139,Class A Orphans,['GPR139']
108,GPR141,Class A Orphans,['GPR141']
109,GPR142,Class A Orphans,['GPR142']
110,GPR149,Class A Orphans,['GPR149']
111,GPR153,Class A Orphans,['GPR153']
112,GPR160,Class A Orphans,['GPR160']
113,GPR161,Class A Orphans,['GPR161']
114,GPR162,Class A Orphans,['GPR162']
115,GPR171,Class A Orphans,['GPR171']
116,GPR176,Class A Orphans,['GPR176']
117,GPR182,Class A Orphans,['GPR182']
118,GPR183,Class A Orphans,['GPR183']
119,LGR4,Class A Orphans,['LGR4']
120,LGR5,Class A Orphans,['LGR5']
121,LGR6,Class A Orphans,['LGR6']
122,MAS1,Class A Orphans,['MAS1']
123,P2RY10,Class A Orphans,"['ENSGALG00000004113', 'ENSGALG00000020331']"
124,TAAR2,Class A Orphans,['TAAR2']
125,TAAR5,Class A Orphans,['TAAR5']
126,GPR156,Class C Orphans,['GPR156']
127,GPR158,Class C Orphans,['GPR158']
128,GPR179,Class C Orphans,['ENSGALG00000053701']
129,GPRC5A,Class C Orphans,['ENSGALG00000011796']
130,GPRC5B,Class C Orphans,['GPRC5B']
131,GPRC5C,Class C Orphans,['GPRC5C']
132,GPRC5D,Class C Orphans,['ENSGALG00000011796']
133,GPRC6 receptor,Class C Orphans,['GPRC6A']
134,FZD1,Class Frizzled GPCRs,['FZD1']
135,FZD2,Class Frizzled GPCRs,['FZD2']
136,FZD3,Class Frizzled GPCRs,['FZD3']
137,FZD4,Class Frizzled GPCRs,['FZD4']
138,FZD6,Class Frizzled GPCRs,['FZD6']
139,FZD7,Class Frizzled GPCRs,['FZD7']
140,FZD9,Class Frizzled GPCRs,['FZD9']
141,SMO,Class Frizzled GPCRs,['SMO']
142,C3a receptor,Complement peptide receptors,['C3AR1']
143,C5a1 receptor,Complement peptide receptors,['ENSGALG00000050637']
144,C5a2 receptor,Complement peptide receptors,['ENSGALG00000050637']
145,CRF1 receptor,Corticotropin-releasing factor receptors,['CRHR1']
146,CRF2 receptor,Corticotropin-releasing factor receptors,['CRHR2']
147,D1 receptor,Dopamine receptors,['DRD1']
148,D2 receptor,Dopamine receptors,['DRD2']
149,D3 receptor,Dopamine receptors,['DRD3']
150,D4 receptor,Dopamine receptors,['DRD4']
151,D5 receptor,Dopamine receptors,['DRD5']
152,ETA receptor,Endothelin receptors,['EDNRA']
153,FFA2 receptor,Free fatty acid receptors,"['GR42L5', 'ENSGALG00000050977', 'FFAR2L']"
154,FFA4 receptor,Free fatty acid receptors,['FFAR4']
155,GABAB1,GABAB receptors,['ENSGALG00000048814']
156,GABAB2,GABAB receptors,['GABBR2']
157,GAL1 receptor,Galanin receptors,['GALR1']
158,GAL2 receptor,Galanin receptors,['GALR2']
159,GAL3 receptor,Galanin receptors,['MCHR2']
160,ghrelin receptor,Ghrelin receptor,['GHSR']
161,GHRH receptor,Glucagon receptor family,['GHRHR']
162,GLP-1 receptor,Glucagon receptor family,['GLP1R']
163,GLP-2 receptor,Glucagon receptor family,['GLP2R']
164,glucagon receptor,Glucagon receptor family,['GCGR']
165,secretin receptor,Glucagon receptor family,['SCTR']
166,FSH receptor,Glycoprotein hormone receptors,['FSHR']
167,LH receptor,Glycoprotein hormone receptors,['LHCGR']
168,TSH receptor,Glycoprotein hormone receptors,['TSHR']
169,GnRH1 receptor,Gonadotrophin-releasing hormone receptors,"['GNRHR', 'CGNRH-R']"
170,GPR18,"GPR18, GPR55 and GPR119",['GPR18']
171,GPR55,"GPR18, GPR55 and GPR119",['GPR55']
172,GPR119,"GPR18, GPR55 and GPR119",['GPR119']
173,GPER,G protein-coupled estrogen receptor,['GPER1']
174,H1 receptor,Histamine receptors,['HRH1']
175,H2 receptor,Histamine receptors,['HRH2']
176,H3 receptor,Histamine receptors,['HRH3']
177,BLT1 receptor,Leukotriene receptors,['LTB4R']
178,CysLT1 receptor,Leukotriene receptors,['CYSLTR1']
179,LPA1 receptor,Lysophospholipid (LPA) receptors,['LPAR1']
180,LPA2 receptor,Lysophospholipid (LPA) receptors,['LPAR2']
181,LPA3 receptor,Lysophospholipid (LPA) receptors,['LPAR3']
182,LPA4 receptor,Lysophospholipid (LPA) receptors,['LPAR4']
183,LPA5 receptor,Lysophospholipid (LPA) receptors,['LPAR5']
184,S1P1 receptor,Lysophospholipid (S1P) receptors,['S1PR1']
185,S1P3 receptor,Lysophospholipid (S1P) receptors,['S1PR3']
186,S1P4 receptor,Lysophospholipid (S1P) receptors,['S1PR4']
187,MCH1 receptor,Melanin-concentrating hormone receptors,['MCHR1']
188,MC2 receptor,Melanocortin receptors,['MC2R']
189,MC3 receptor,Melanocortin receptors,['MC3R']
190,MC4 receptor,Melanocortin receptors,['MC4R']
191,MC5 receptor,Melanocortin receptors,['MC5R']
192,MT1 receptor,Melatonin receptors,['MTNR1A']
193,MT2 receptor,Melatonin receptors,['MTNR1B']
194,mGlu1 receptor,Metabotropic glutamate receptors,"['GRM1', 'LRRC15']"
195,mGlu2 receptor,Metabotropic glutamate receptors,['GRM2']
196,mGlu3 receptor,Metabotropic glutamate receptors,['GRM3']
197,mGlu5 receptor,Metabotropic glutamate receptors,['GRM5']
198,mGlu7 receptor,Metabotropic glutamate receptors,['GRM7']
199,mGlu8 receptor,Metabotropic glutamate receptors,['GRM8']
200,NMU1 receptor,Neuromedin U receptors,['NMUR1']
201,NMU2 receptor,Neuromedin U receptors,['NMUR2']
202,NPFF1 receptor,Neuropeptide FF/neuropeptide AF receptors,['NPFFR1']
203,NPFF2 receptor,Neuropeptide FF/neuropeptide AF receptors,['NPFFR2']
204,NPS receptor,Neuropeptide S receptor,['NPSR1']
205,NPBW1 receptor,Neuropeptide W/neuropeptide B receptors,['NPBWR1']
206,Y1 receptor,Neuropeptide Y receptors,['NPY1R']
207,Y2 receptor,Neuropeptide Y receptors,['NPY2R']
208,Y4 receptor,Neuropeptide Y receptors,['NPY4R']
209,Y5 receptor,Neuropeptide Y receptors,['NPY5R']
210,NTS1 receptor,Neurotensin receptors,['NTSR1']
211,δ receptor,Opioid receptors,['OPRD1']
212,κ receptor,Opioid receptors,['OPRK1']
213,μ receptor,Opioid receptors,['OPRM1']
214,NOP receptor,Opioid receptors,['OPRL1']
215,OPN1MW,Opsin receptors,['OPN1LW']
216,Rhodopsin,Opsin receptors,['RHO']
217,OPN3,Opsin receptors,['OPN3']
218,OPN4,Opsin receptors,['OPN4']
219,OPN5,Opsin receptors,['OPN5']
220,OX2 receptor,Orexin receptors,['HCRTR2']
221,GPR107,Other 7TM proteins,['GPR107']
222,TPRA1,Other 7TM proteins,['TPRA1']
223,GPR143,Other 7TM proteins,['GPR143']
224,GPR157,Other 7TM proteins,['GPR157']
225,oxoglutarate receptor,Oxoglutarate receptor,"['ENSGALG00000016891', 'ENSGALG00000041311']"
226,P2Y1 receptor,P2Y receptors,['P2RY1']
227,P2Y4 receptor,P2Y receptors,['P2RY4']
228,P2Y6 receptor,P2Y receptors,['P2RY6']
229,P2Y13 receptor,P2Y receptors,['P2RY13']
230,P2Y14 receptor,P2Y receptors,['P2RY14']
231,PTH1 receptor,Parathyroid hormone receptors,['PTH2R']
232,PAF receptor,Platelet-activating factor receptor,['PTAFR']
233,PKR2,Prokineticin receptors,['PROKR1']
234,DP1 receptor,Prostanoid receptors,['PTGDR']
235,EP2 receptor,Prostanoid receptors,['PTGER2']
236,EP3 receptor,Prostanoid receptors,['PTGER3']
237,EP4 receptor,Prostanoid receptors,['PTGER4']
238,FP receptor,Prostanoid receptors,['PTGFR']
239,TP receptor,Prostanoid receptors,['TBXA2R']
240,PAR1,Proteinase-activated receptors,['F2R']
241,PAR2,Proteinase-activated receptors,['F2RL1']
242,PAR3,Proteinase-activated receptors,['F2RL2']
243,PAR4,Proteinase-activated receptors,['F2RL3']
244,QRFP receptor,QRFP receptor,['QRFPR']
245,RXFP1,Relaxin family peptide receptors,['RXFP1']
246,RXFP3,Relaxin family peptide receptors,['ENSGALG00000017411']
247,SST1 receptor,Somatostatin receptors,['SSTR1']
248,SST2 receptor,Somatostatin receptors,['SSTR2']
249,SST3 receptor,Somatostatin receptors,['SSTR3']
250,SST4 receptor,Somatostatin receptors,['SSTR4']
251,SST5 receptor,Somatostatin receptors,['SSTR5']
252,succinate receptor,Succinate receptor,['SUCNR1']
253,NK1 receptor,Tachykinin receptors,['TACR1']
254,NK2 receptor,Tachykinin receptors,['TACR2']
255,NK3 receptor,Tachykinin receptors,['TACR3']
256,TAS1R1,Taste 1 receptors,['ENSGALG00000046030']
257,TRH1 receptor,Thyrotropin-releasing hormone receptors,['TRHR']
258,V1A receptor,Vasopressin and oxytocin receptors,['AVPR1A']
259,V1B receptor,Vasopressin and oxytocin receptors,"['AVPR1B', 'AVPR1B']"
260,OT receptor,Vasopressin and oxytocin receptors,['OXTR']
261,PAC1 receptor,VIP and PACAP receptors,['ADCYAP1R1']
262,VPAC2 receptor,VIP and PACAP receptors,['VIPR2']
263,DAX1,0B. DAX-like receptors,['NR0B1']
264,SHP,0B. DAX-like receptors,['NR0B2']
265,Thyroid hormone receptor-α,1A. Thyroid hormone receptors,['THRA']
266,Thyroid hormone receptor-β,1A. Thyroid hormone receptors,['THRB']
267,Retinoic acid receptor-α,1B. Retinoic acid receptors,['RARA']
268,Retinoic acid receptor-β,1B. Retinoic acid receptors,['RARB']
269,Retinoic acid receptor-γ,1B. Retinoic acid receptors,['RARG']
270,Peroxisome proliferator-activated receptor-α,1C. Peroxisome proliferator-activated receptors,['PPARA']
271,Peroxisome proliferator-activated receptor-β/δ,1C. Peroxisome proliferator-activated receptors,['PPARD']
272,Peroxisome proliferator-activated receptor-γ,1C. Peroxisome proliferator-activated receptors,['PPARG']
273,Rev-Erb-α,1D. Rev-Erb receptors,['NR1D1']
274,Rev-Erb-β,1D. Rev-Erb receptors,['NR1D2']
275,RAR-related orphan receptor-α,1F. Retinoic acid-related orphans,['RORA']
276,RAR-related orphan receptor-β,1F. Retinoic acid-related orphans,['RORB']
277,RAR-related orphan receptor-γ,1F. Retinoic acid-related orphans,['RORC']
278,Farnesoid X receptor,1H. Liver X receptor-like receptors,['NR1H4']
279,Farnesoid X receptor-β,1H. Liver X receptor-like receptors,['ENSGALG00000002170']
280,Liver X receptor-α,1H. Liver X receptor-like receptors,['NR1H3']
281,Vitamin D receptor,1I. Vitamin D receptor-like receptors,['VDR']
282,Hepatocyte nuclear factor-4-α,2A. Hepatocyte nuclear factor-4 receptors,['HNF4A']
283,Hepatocyte nuclear factor-4-γ,2A. Hepatocyte nuclear factor-4 receptors,['HNF4G']
284,Retinoid X receptor-α,2B. Retinoid X receptors,['RXRA']
285,Retinoid X receptor-γ,2B. Retinoid X receptors,['RXRG']
286,Testicular receptor 2,2C. Testicular receptors,['NR2C1']
287,Testicular receptor 4,2C. Testicular receptors,['NR2C2']
288,TLX,2E. Tailless-like receptors,['NR2E1']
289,COUP-TF1,2F. COUP-TF-like receptors,['NR2F1']
290,COUP-TF2,2F. COUP-TF-like receptors,['NR2F2']
291,V-erbA-related gene,2F. COUP-TF-like receptors,['NR2F6']
292,Estrogen receptor-α,3A. Estrogen receptors,['ESR1']
293,Estrogen receptor-β,3A. Estrogen receptors,['ESR2']
294,Estrogen-related receptor-β,3B. Estrogen-related receptors,['ESRRB']
295,Estrogen-related receptor-γ,3B. Estrogen-related receptors,['ESRRG']
296,Androgen receptor,3C. 3-Ketosteroid receptors,['AR']
297,Glucocorticoid receptor,3C. 3-Ketosteroid receptors,['NR3C1']
298,Mineralocorticoid receptor,3C. 3-Ketosteroid receptors,['NR3C2']
299,Progesterone receptor,3C. 3-Ketosteroid receptors,['PGR']
300,Nerve Growth factor IB,4A. Nerve growth factor IB-like receptors,['NR4A1']
301,Nuclear receptor related 1,4A. Nerve growth factor IB-like receptors,['NR4A2']
302,Neuron-derived orphan receptor 1,4A. Nerve growth factor IB-like receptors,['NR4A3']
303,Steroidogenic factor 1,5A. Fushi tarazu F1-like receptors,['NR5A1']
304,Liver receptor homolog-1,5A. Fushi tarazu F1-like receptors,['NR5A2']
305,Germ cell nuclear factor,6A. Germ cell nuclear factor receptors,['NR6A1']
306,KCa1.1,Calcium- and sodium-activated potassium channels,['KCNMA1']
307,KCa2.1,Calcium- and sodium-activated potassium channels,['KCNN1']
308,KCa2.2,Calcium- and sodium-activated potassium channels,['KCNN2']
309,KCa2.3,Calcium- and sodium-activated potassium channels,['KCNN3']
310,KNa1.1,Calcium- and sodium-activated potassium channels,['KCNT1']
311,KNa1.2,Calcium- and sodium-activated potassium channels,['KCNT2']
312,KCa5.1,Calcium- and sodium-activated potassium channels,['ENSGALG00000045668']
313,TPC1,CatSper and Two-Pore channels,['TPCN1']
314,TPC2,CatSper and Two-Pore channels,['ENSGALG00000007550']
315,CNGA1,Cyclic nucleotide-regulated channels,['CNGA1']
316,CNGA2,Cyclic nucleotide-regulated channels,['CNGA2']
317,CNGA3,Cyclic nucleotide-regulated channels,['CNGA3']
318,CNGA4,Cyclic nucleotide-regulated channels,['ENSGALG00000022704']
319,CNGB3,Cyclic nucleotide-regulated channels,['CNGB3']
320,HCN1,Cyclic nucleotide-regulated channels,['HCN1']
321,HCN2,Cyclic nucleotide-regulated channels,['HCN2']
322,Kir1.1,Inwardly rectifying potassium channels,['KCNJ1']
323,Kir2.1,Inwardly rectifying potassium channels,['KCNJ2']
324,Kir2.2,Inwardly rectifying potassium channels,['ENSGALG00000004721']
325,Kir2.3,Inwardly rectifying potassium channels,['KCNJ4']
326,Kir3.1,Inwardly rectifying potassium channels,['KCNJ3']
327,Kir3.2,Inwardly rectifying potassium channels,['KCNJ6']
328,Kir3.4,Inwardly rectifying potassium channels,['KCNJ5']
329,Kir4.2,Inwardly rectifying potassium channels,['KCNJ15']
330,Kir5.1,Inwardly rectifying potassium channels,['KCNJ16']
331,Kir6.1,Inwardly rectifying potassium channels,['KCNJ8']
332,Kir6.2,Inwardly rectifying potassium channels,['KCNJ11']
333,Kir7.1,Inwardly rectifying potassium channels,['KCNJ13']
334,RyR1,Ryanodine receptors,['ENSGALG00000053055']
335,RyR2,Ryanodine receptors,['RYR2']
336,RyR3,Ryanodine receptors,['RYR3']
337,TRPA1,Transient Receptor Potential channels,['TRPA1']
338,TRPC1,Transient Receptor Potential channels,['TRPC1']
339,TRPC3,Transient Receptor Potential channels,['TRPC3']
340,TRPC4,Transient Receptor Potential channels,['TRPC4']
341,TRPC5,Transient Receptor Potential channels,['TRPC5']
342,TRPC6,Transient Receptor Potential channels,['TRPC6']
343,TRPC7,Transient Receptor Potential channels,['TRPC7']
344,TRPM1,Transient Receptor Potential channels,['TRPM1']
345,TRPM2,Transient Receptor Potential channels,['TRPM2']
346,TRPM3,Transient Receptor Potential channels,['TRPM3']
347,TRPM5,Transient Receptor Potential channels,['TRPM5']
348,TRPM6,Transient Receptor Potential channels,['TRPM6']
349,TRPM7,Transient Receptor Potential channels,['TRPM7']
350,TRPM8,Transient Receptor Potential channels,['TRPM8']
351,TRPML1,Transient Receptor Potential channels,['MCOLN1']
352,TRPML2,Transient Receptor Potential channels,['MCOLN2']
353,TRPML3,Transient Receptor Potential channels,['MCOLN3']
354,TRPP1,Transient Receptor Potential channels,['PKD2']
355,TRPP2,Transient Receptor Potential channels,['PKD2L1']
356,TRPP3,Transient Receptor Potential channels,['PKD2L2']
357,TRPV1,Transient Receptor Potential channels,['TRPV1']
358,TRPV2,Transient Receptor Potential channels,['TRPV2']
359,TRPV3,Transient Receptor Potential channels,"['ENSGALG00000004660', 'ENSGALG00000055056']"
360,TRPV6,Transient Receptor Potential channels,"['ENSGALG00000014746', 'ENSGALG00000051473']"
361,K2P1.1,Two P domain potassium channels,['KCNK1']
362,K2P2.1,Two P domain potassium channels,['KCNK2']
363,K2P3.1,Two P domain potassium channels,['KCNK3']
364,K2P5.1,Two P domain potassium channels,['KCNK5']
365,K2P9.1,Two P domain potassium channels,['KCNK9']
366,K2P10.1,Two P domain potassium channels,['KCNK10']
367,K2P12.1,Two P domain potassium channels,['KCNK12']
368,K2P13.1,Two P domain potassium channels,['KCNK13']
369,K2P15.1,Two P domain potassium channels,['KCNK15']
370,K2P16.1,Two P domain potassium channels,['KCNK16']
371,K2P18.1,Two P domain potassium channels,['KCNK18']
372,Cav1.1,Voltage-gated calcium channels,['CACNA1S']
373,Cav1.2,Voltage-gated calcium channels,['CACNA1C']
374,Cav1.3,Voltage-gated calcium channels,['CACNA1D']
375,Cav2.1,Voltage-gated calcium channels,['ENSGALG00000054250']
376,Cav2.2,Voltage-gated calcium channels,['CACNA1B']
377,Cav2.3,Voltage-gated calcium channels,['CACNA1E']
378,Cav3.1,Voltage-gated calcium channels,['CACNA1G']
379,Cav3.2,Voltage-gated calcium channels,['CACNA1H']
380,Kv1.2,Voltage-gated potassium channels,['KCNA2']
381,Kv1.3,Voltage-gated potassium channels,['KCNA3']
382,Kv1.4,Voltage-gated potassium channels,['KCNA4']
383,Kv1.5,Voltage-gated potassium channels,['KCNA5']
384,Kv1.8,Voltage-gated potassium channels,['KCNA10']
385,Kv2.1,Voltage-gated potassium channels,['KCNB1']
386,Kv3.1,Voltage-gated potassium channels,['KCNC1']
387,Kv3.2,Voltage-gated potassium channels,['KCNC2']
388,Kv3.3,Voltage-gated potassium channels,['KCNC3']
389,Kv3.4,Voltage-gated potassium channels,['KCNC4']
390,Kv4.3,Voltage-gated potassium channels,['KCND3']
391,Kv5.1,Voltage-gated potassium channels,['KCNF1']
392,Kv6.1,Voltage-gated potassium channels,['KCNG1']
393,Kv6.2,Voltage-gated potassium channels,['KCNG2']
394,Kv6.3,Voltage-gated potassium channels,['KCNG3']
395,Kv6.4,Voltage-gated potassium channels,['KCNG4']
396,Kv7.1,Voltage-gated potassium channels,['KCNQ1']
397,Kv7.2,Voltage-gated potassium channels,['KCNQ2']
398,Kv7.3,Voltage-gated potassium channels,['KCNQ3']
399,Kv7.4,Voltage-gated potassium channels,['KCNQ4']
400,Kv7.5,Voltage-gated potassium channels,['KCNQ5']
401,Kv8.1,Voltage-gated potassium channels,['KCNV1']
402,Kv8.2,Voltage-gated potassium channels,['KCNV2']
403,Kv9.1,Voltage-gated potassium channels,['KCNS1']
404,Kv9.2,Voltage-gated potassium channels,['KCNS2']
405,Kv9.3,Voltage-gated potassium channels,['KCNS3']
406,Kv10.1,Voltage-gated potassium channels,['ENSGALG00000009877']
407,Kv10.2,Voltage-gated potassium channels,['KCNH5']
408,Kv11.1,Voltage-gated potassium channels,['KCNH2']
409,Kv11.2,Voltage-gated potassium channels,['KCNH6']
410,Kv11.3,Voltage-gated potassium channels,['KCNH7']
411,Kv12.1,Voltage-gated potassium channels,['KCNH8']
412,Kv12.3,Voltage-gated potassium channels,['KCNH4']
413,Hv1,Voltage-gated proton channel,['HVCN1']
414,Nav1.1,Voltage-gated sodium channels,['SCN1A']
415,Nav1.2,Voltage-gated sodium channels,['SCN2A']
416,Nav1.3,Voltage-gated sodium channels,['SCN3A']
417,Nav1.4,Voltage-gated sodium channels,['SCN4A']
418,Nav1.6,Voltage-gated sodium channels,['SCN8A']
419,Nav1.8,Voltage-gated sodium channels,"['ENSGALG00000006072', 'SCN5A', 'SCN11A']"
420,5-HT3A,5-HT3 receptors,['HTR3A']
421,ASIC1,Acid-sensing (proton-gated) ion channels (ASICs),['ASIC1']
422,ASIC2,Acid-sensing (proton-gated) ion channels (ASICs),['ASIC2']
423,ENaC α,Epithelial sodium channel (ENaC),['SCNN1A']
424,ENaC β,Epithelial sodium channel (ENaC),['SCNN1B']
425,ENaC γ,Epithelial sodium channel (ENaC),['SCNN1G']
426,GABAA receptor α1 subunit,GABAA receptors,['GABRA1']
427,GABAA receptor α2 subunit,GABAA receptors,['GABRA2']
428,GABAA receptor α3 subunit,GABAA receptors,['GABRA3']
429,GABAA receptor α4 subunit,GABAA receptors,['GABRA4']
430,GABAA receptor α5 subunit,GABAA receptors,['GABRA5']
431,GABAA receptor α6 subunit,GABAA receptors,['GABRA6']
432,GABAA receptor β2 subunit,GABAA receptors,['GABRB2']
433,GABAA receptor β3 subunit,GABAA receptors,['GABRB3']
434,GABAA receptor γ1 subunit,GABAA receptors,['GABRG1']
435,GABAA receptor γ2 subunit,GABAA receptors,['GABRG2']
436,GABAA receptor γ3 subunit,GABAA receptors,['GABRG3']
437,GABAA receptor δ subunit,GABAA receptors,['GABRD']
438,GABAA receptor ε subunit,GABAA receptors,['GABRE']
439,GABAA receptor π subunit,GABAA receptors,['GABRP']
440,GABAA receptor ρ1 subunit,GABAA receptors,['GABRR1']
441,GABAA receptor ρ2 subunit,GABAA receptors,['GABRR2']
442,GABAA receptor ρ3 subunit,GABAA receptors,['ENSGALG00000050064']
443,glycine receptor α1 subunit,Glycine receptors,['GLRA1']
444,glycine receptor α2 subunit,Glycine receptors,['GLRA2']
445,glycine receptor α3 subunit,Glycine receptors,['GLRA3']
446,glycine receptor α4 subunit (pseudogene in humans),Glycine receptors,['GLRA4']
447,glycine receptor β subunit,Glycine receptors,['GLRB']
448,GluA1,Ionotropic glutamate receptors,['GRIA1']
449,GluA2,Ionotropic glutamate receptors,['GRIA2']
450,GluA3,Ionotropic glutamate receptors,['GRIA3']
451,GluA4,Ionotropic glutamate receptors,['GRIA4']
452,GluD1,Ionotropic glutamate receptors,['GRID1']
453,GluD2,Ionotropic glutamate receptors,['GRID2']
454,GluK1,Ionotropic glutamate receptors,['GRIK1']
455,GluK2,Ionotropic glutamate receptors,['GRIK2']
456,GluK3,Ionotropic glutamate receptors,['GRIK3']
457,GluK4,Ionotropic glutamate receptors,['GRIK4']
