,receptor,family,gene
123,TAAR2,Class A Orphans,['TAAR2']
124,TAAR5,Class A Orphans,['TAAR5']
125,GPR156,Class C Orphans,['GPR156']
126,GPR158,Class C Orphans,['GPR158']
127,GPR179,Class C Orphans,['GPR179']
128,GPRC5A,Class C Orphans,"['ENSACAG00000010644', 'ENSACAG00000022275']"
129,GPRC5B,Class C Orphans,['GPRC5B']
130,GPRC5C,Class C Orphans,['GPRC5C']
131,GPRC5D,Class C Orphans,"['ENSACAG00000010644', 'ENSACAG00000022275']"
132,GPRC6 receptor,Class C Orphans,['GPRC6A']
133,FZD1,Class Frizzled GPCRs,['FZD1']
134,FZD2,Class Frizzled GPCRs,['FZD2']
135,FZD3,Class Frizzled GPCRs,['FZD3']
136,FZD4,Class Frizzled GPCRs,['FZD4']
137,FZD6,Class Frizzled GPCRs,['FZD6']
138,FZD7,Class Frizzled GPCRs,['FZD7']
139,FZD8,Class Frizzled GPCRs,"['FZD8', 'FZD8']"
140,SMO,Class Frizzled GPCRs,['SMO']
141,C3a receptor,Complement peptide receptors,['C3AR1']
142,C5a1 receptor,Complement peptide receptors,['ENSACAG00000004107']
143,C5a2 receptor,Complement peptide receptors,['ENSACAG00000004107']
144,CRF1 receptor,Corticotropin-releasing factor receptors,['ENSACAG00000017912']
145,CRF2 receptor,Corticotropin-releasing factor receptors,['CRHR2']
146,D1 receptor,Dopamine receptors,['DRD1']
147,D2 receptor,Dopamine receptors,['DRD2']
148,D3 receptor,Dopamine receptors,['DRD3']
149,D4 receptor,Dopamine receptors,['DRD4']
150,D5 receptor,Dopamine receptors,['DRD5']
151,ETA receptor,Endothelin receptors,['EDNRA']
152,FPR1,Formylpeptide receptors,"['ENSACAG00000004373', 'ENSACAG00000023426', 'ENSACAG00000026033']"
153,FPR2/ALX,Formylpeptide receptors,"['ENSACAG00000004373', 'ENSACAG00000023426', 'ENSACAG00000026033']"
154,FPR3,Formylpeptide receptors,"['ENSACAG00000004373', 'ENSACAG00000023426', 'ENSACAG00000026033']"
155,FFA1 receptor,Free fatty acid receptors,['FFAR1']
156,FFA2 receptor,Free fatty acid receptors,"['ENSACAG00000010287', 'ENSACAG00000025676']"
157,GABAB1,GABAB receptors,['GABBR1']
158,GABAB2,GABAB receptors,['GABBR2']
159,GAL1 receptor,Galanin receptors,['GALR1']
160,GAL2 receptor,Galanin receptors,['GALR2']
161,ghrelin receptor,Ghrelin receptor,['GHSR']
162,GHRH receptor,Glucagon receptor family,['GHRHR']
163,GLP-1 receptor,Glucagon receptor family,['GLP1R']
164,GLP-2 receptor,Glucagon receptor family,['GLP2R']
165,glucagon receptor,Glucagon receptor family,['GCGR']
166,secretin receptor,Glucagon receptor family,['SCTR']
167,FSH receptor,Glycoprotein hormone receptors,"['ENSACAG00000016258', 'ENSACAG00000024243', 'ENSACAG00000025070']"
168,TSH receptor,Glycoprotein hormone receptors,['TSHR']
169,GnRH1 receptor,Gonadotrophin-releasing hormone receptors,['GNRHR']
170,GPR18,"GPR18, GPR55 and GPR119",['GPR18']
171,GPR119,"GPR18, GPR55 and GPR119",['GPR119']
172,GPER,G protein-coupled estrogen receptor,['GPER1']
173,H1 receptor,Histamine receptors,['HRH1']
174,H2 receptor,Histamine receptors,['HRH2']
175,H3 receptor,Histamine receptors,['HRH3']
176,kisspeptin receptor,Kisspeptin receptor,['KISS1R']
177,BLT1 receptor,Leukotriene receptors,['LTB4R']
178,BLT2 receptor,Leukotriene receptors,['LTB4R2']
179,CysLT2 receptor,Leukotriene receptors,['ENSACAG00000015500']
180,FPR2/ALX,Leukotriene receptors,"['ENSACAG00000004373', 'ENSACAG00000023426', 'ENSACAG00000026033']"
181,LPA1 receptor,Lysophospholipid (LPA) receptors,['LPAR1']
182,LPA2 receptor,Lysophospholipid (LPA) receptors,['LPAR2']
183,LPA3 receptor,Lysophospholipid (LPA) receptors,['LPAR3']
184,LPA4 receptor,Lysophospholipid (LPA) receptors,['LPAR4']
185,LPA5 receptor,Lysophospholipid (LPA) receptors,['LPAR5']
186,LPA6 receptor,Lysophospholipid (LPA) receptors,['LPAR6']
187,S1P1 receptor,Lysophospholipid (S1P) receptors,['S1PR1']
188,S1P3 receptor,Lysophospholipid (S1P) receptors,['S1PR3']
189,S1P4 receptor,Lysophospholipid (S1P) receptors,['S1PR4']
190,MCH1 receptor,Melanin-concentrating hormone receptors,['MCHR1']
191,MC2 receptor,Melanocortin receptors,['MC2R']
192,MC3 receptor,Melanocortin receptors,['MC3R']
193,MC4 receptor,Melanocortin receptors,['MC4R']
194,MT1 receptor,Melatonin receptors,['MTNR1A']
195,MT2 receptor,Melatonin receptors,['MTNR1B']
196,mGlu1 receptor,Metabotropic glutamate receptors,"['GRM1', 'LRRC15']"
197,mGlu2 receptor,Metabotropic glutamate receptors,['GRM2']
198,mGlu3 receptor,Metabotropic glutamate receptors,['GRM3']
199,mGlu5 receptor,Metabotropic glutamate receptors,['GRM5']
200,mGlu6 receptor,Metabotropic glutamate receptors,['GRM6']
201,mGlu7 receptor,Metabotropic glutamate receptors,['GRM7']
202,mGlu8 receptor,Metabotropic glutamate receptors,['GRM8']
203,NMU1 receptor,Neuromedin U receptors,['NMUR1']
204,NMU2 receptor,Neuromedin U receptors,['NMUR2']
205,NPFF1 receptor,Neuropeptide FF/neuropeptide AF receptors,['NPFFR1']
206,NPFF2 receptor,Neuropeptide FF/neuropeptide AF receptors,['NPFFR2']
207,NPS receptor,Neuropeptide S receptor,['NPSR1']
208,NPBW1 receptor,Neuropeptide W/neuropeptide B receptors,['NPBWR1']
209,Y1 receptor,Neuropeptide Y receptors,['NPY1R']
210,Y2 receptor,Neuropeptide Y receptors,['NPY2R']
211,Y4 receptor,Neuropeptide Y receptors,['ENSACAG00000007733']
212,Y5 receptor,Neuropeptide Y receptors,['NPY5R']
213,NTS1 receptor,Neurotensin receptors,['NTSR1']
214,δ receptor,Opioid receptors,['OPRD1']
215,κ receptor,Opioid receptors,['OPRK1']
216,μ receptor,Opioid receptors,['OPRM1']
217,NOP receptor,Opioid receptors,['OPRL1']
218,OPN1MW,Opsin receptors,['ENSACAG00000012605']
219,OPN1SW,Opsin receptors,['OPN1SW']
220,Rhodopsin,Opsin receptors,['rho']
221,OPN3,Opsin receptors,['OPN3']
222,OPN4,Opsin receptors,['OPN4']
223,OPN5,Opsin receptors,['OPN5']
224,OX2 receptor,Orexin receptors,['HCRTR2']
225,GPR137,Other 7TM proteins,['GPR137']
226,TPRA1,Other 7TM proteins,['TPRA1']
227,GPR143,Other 7TM proteins,['GPR143']
228,oxoglutarate receptor,Oxoglutarate receptor,"['ENSACAG00000001129', 'ENSACAG00000027813']"
229,P2Y1 receptor,P2Y receptors,['P2RY1']
230,P2Y6 receptor,P2Y receptors,['P2RY6']
231,P2Y12 receptor,P2Y receptors,['P2RY12']
232,P2Y13 receptor,P2Y receptors,['P2RY13']
233,P2Y14 receptor,P2Y receptors,['P2RY14']
234,PTH1 receptor,Parathyroid hormone receptors,['ENSACAG00000004743']
235,PTH2 receptor,Parathyroid hormone receptors,['PTH2R']
236,PAF receptor,Platelet-activating factor receptor,['PTAFR']
237,PKR2,Prokineticin receptors,['ENSACAG00000000824']
238,PrRP receptor,Prolactin-releasing peptide receptor,['PRLHR']
239,EP1 receptor,Prostanoid receptors,['PTGER1']
240,EP2 receptor,Prostanoid receptors,['PTGER2']
241,EP3 receptor,Prostanoid receptors,['PTGER3']
242,EP4 receptor,Prostanoid receptors,['PTGER4']
243,FP receptor,Prostanoid receptors,['PTGFR']
244,IP receptor,Prostanoid receptors,['PTGIR']
245,PAR1,Proteinase-activated receptors,['F2R']
246,PAR3,Proteinase-activated receptors,['F2RL2']
247,QRFP receptor,QRFP receptor,"['ENSACAG00000003885', 'ENSACAG00000012952']"
248,RXFP1,Relaxin family peptide receptors,['RXFP1']
249,SST2 receptor,Somatostatin receptors,['SSTR2']
250,SST3 receptor,Somatostatin receptors,['SSTR3']
251,SST5 receptor,Somatostatin receptors,['SSTR5']
252,succinate receptor,Succinate receptor,['SUCNR1']
253,NK1 receptor,Tachykinin receptors,['TACR1']
254,NK2 receptor,Tachykinin receptors,['TACR2']
255,TAS1R1,Taste 1 receptors,['TAS1R1']
256,TAS1R3,Taste 1 receptors,['TAS1R3']
257,TRH1 receptor,Thyrotropin-releasing hormone receptors,['TRHR']
258,TA1 receptor,Trace amine receptor,['TAAR1']
259,UT receptor,Urotensin receptor,['ENSACAG00000015471']
260,V1A receptor,Vasopressin and oxytocin receptors,['AVPR1A']
261,V2 receptor,Vasopressin and oxytocin receptors,['AVPR2']
262,OT receptor,Vasopressin and oxytocin receptors,['OXTR']
263,PAC1 receptor,VIP and PACAP receptors,['ADCYAP1R1']
264,VPAC2 receptor,VIP and PACAP receptors,['VIPR2']
265,DAX1,0B. DAX-like receptors,['NR0B1']
266,SHP,0B. DAX-like receptors,['ENSACAG00000017366']
267,Thyroid hormone receptor-α,1A. Thyroid hormone receptors,['THRA']
268,Thyroid hormone receptor-β,1A. Thyroid hormone receptors,['THRB']
269,Retinoic acid receptor-α,1B. Retinoic acid receptors,['RARA']
270,Retinoic acid receptor-β,1B. Retinoic acid receptors,['RARB']
271,Retinoic acid receptor-γ,1B. Retinoic acid receptors,['RARG']
272,Peroxisome proliferator-activated receptor-α,1C. Peroxisome proliferator-activated receptors,['PPARA']
273,Peroxisome proliferator-activated receptor-β/δ,1C. Peroxisome proliferator-activated receptors,['PPARD']
274,Peroxisome proliferator-activated receptor-γ,1C. Peroxisome proliferator-activated receptors,['PPARG']
275,Rev-Erb-α,1D. Rev-Erb receptors,['NR1D1']
276,Rev-Erb-β,1D. Rev-Erb receptors,['NR1D2']
277,RAR-related orphan receptor-α,1F. Retinoic acid-related orphans,['RORA']
278,RAR-related orphan receptor-β,1F. Retinoic acid-related orphans,['RORB']
279,RAR-related orphan receptor-γ,1F. Retinoic acid-related orphans,['RORC']
280,Farnesoid X receptor,1H. Liver X receptor-like receptors,['NR1H4']
281,Farnesoid X receptor-β,1H. Liver X receptor-like receptors,['ENSACAG00000003336']
282,Liver X receptor-α,1H. Liver X receptor-like receptors,['NR1H3']
283,Liver X receptor-β,1H. Liver X receptor-like receptors,['NR1H2']
284,Vitamin D receptor,1I. Vitamin D receptor-like receptors,['VDR']
285,Pregnane X receptor,1I. Vitamin D receptor-like receptors,['ENSACAG00000001535']
286,Constitutive androstane receptor,1I. Vitamin D receptor-like receptors,['NR1I3']
287,Hepatocyte nuclear factor-4-α,2A. Hepatocyte nuclear factor-4 receptors,['HNF4A']
288,Hepatocyte nuclear factor-4-γ,2A. Hepatocyte nuclear factor-4 receptors,['HNF4G']
289,Retinoid X receptor-α,2B. Retinoid X receptors,['RXRA']
290,Retinoid X receptor-β,2B. Retinoid X receptors,['RXRB']
291,Testicular receptor 2,2C. Testicular receptors,['NR2C1']
292,Testicular receptor 4,2C. Testicular receptors,['NR2C2']
293,TLX,2E. Tailless-like receptors,['NR2E1']
294,COUP-TF1,2F. COUP-TF-like receptors,['NR2F1']
295,Estrogen receptor-α,3A. Estrogen receptors,['esr1']
296,Estrogen receptor-β,3A. Estrogen receptors,['ESR2']
297,Estrogen-related receptor-β,3B. Estrogen-related receptors,['ESRRB']
298,Estrogen-related receptor-γ,3B. Estrogen-related receptors,['ESRRG']
299,Androgen receptor,3C. 3-Ketosteroid receptors,['ENSACAG00000009496']
300,Glucocorticoid receptor,3C. 3-Ketosteroid receptors,['NR3C1']
301,Mineralocorticoid receptor,3C. 3-Ketosteroid receptors,['NR3C2']
302,Progesterone receptor,3C. 3-Ketosteroid receptors,['PGR']
303,Nerve Growth factor IB,4A. Nerve growth factor IB-like receptors,['NR4A1']
304,Nuclear receptor related 1,4A. Nerve growth factor IB-like receptors,['NR4A2']
305,Neuron-derived orphan receptor 1,4A. Nerve growth factor IB-like receptors,['NR4A3']
306,Steroidogenic factor 1,5A. Fushi tarazu F1-like receptors,['NR5A1']
307,Liver receptor homolog-1,5A. Fushi tarazu F1-like receptors,['NR5A2']
308,Germ cell nuclear factor,6A. Germ cell nuclear factor receptors,['NR6A1']
309,KCa1.1,Calcium- and sodium-activated potassium channels,['KCNMA1']
310,KCa2.2,Calcium- and sodium-activated potassium channels,['KCNN2']
311,KCa2.3,Calcium- and sodium-activated potassium channels,['ENSACAG00000015700']
312,KCa3.1,Calcium- and sodium-activated potassium channels,['KCNN4']
313,KNa1.1,Calcium- and sodium-activated potassium channels,['KCNT1']
314,KNa1.2,Calcium- and sodium-activated potassium channels,['KCNT2']
315,KCa5.1,Calcium- and sodium-activated potassium channels,['KCNU1']
316,CatSper2,CatSper and Two-Pore channels,['ENSACAG00000000139']
317,CatSper3,CatSper and Two-Pore channels,['CATSPER3']
318,CatSper4,CatSper and Two-Pore channels,['CATSPER4']
319,TPC1,CatSper and Two-Pore channels,['TPCN1']
320,TPC2,CatSper and Two-Pore channels,['ENSACAG00000015933']
321,CNGA1,Cyclic nucleotide-regulated channels,['CNGA1']
322,CNGA2,Cyclic nucleotide-regulated channels,['CNGA2']
323,CNGA3,Cyclic nucleotide-regulated channels,['CNGA3']
324,CNGA4,Cyclic nucleotide-regulated channels,['ENSACAG00000011215']
325,CNGB3,Cyclic nucleotide-regulated channels,['CNGB3']
326,HCN1,Cyclic nucleotide-regulated channels,['HCN1']
327,HCN2,Cyclic nucleotide-regulated channels,['HCN2']
328,HCN3,Cyclic nucleotide-regulated channels,['ENSACAG00000028197']
329,HCN4,Cyclic nucleotide-regulated channels,['HCN4']
330,Kir1.1,Inwardly rectifying potassium channels,['KCNJ1']
331,Kir2.1,Inwardly rectifying potassium channels,['KCNJ2']
332,Kir2.2,Inwardly rectifying potassium channels,['ENSACAG00000001841']
333,Kir2.3,Inwardly rectifying potassium channels,['KCNJ4']
334,Kir2.4,Inwardly rectifying potassium channels,['KCNJ14']
335,Kir3.1,Inwardly rectifying potassium channels,"['ENSACAG00000012401', 'ENSACAG00000022462']"
336,Kir3.2,Inwardly rectifying potassium channels,['KCNJ6']
337,Kir3.3,Inwardly rectifying potassium channels,['KCNJ9']
338,Kir3.4,Inwardly rectifying potassium channels,['KCNJ5']
339,Kir4.2,Inwardly rectifying potassium channels,['KCNJ15']
340,Kir5.1,Inwardly rectifying potassium channels,['KCNJ16']
341,Kir6.1,Inwardly rectifying potassium channels,['KCNJ8']
342,Kir6.2,Inwardly rectifying potassium channels,['KCNJ11']
343,Kir7.1,Inwardly rectifying potassium channels,['KCNJ13']
344,RyR1,Ryanodine receptors,"['ENSACAG00000001965', 'ENSACAG00000002607', 'ENSACAG00000022438']"
345,RyR2,Ryanodine receptors,"['ENSACAG00000003211', 'ENSACAG00000003628', 'ENSACAG00000024151']"
346,RyR3,Ryanodine receptors,['RYR3']
347,TRPA1,Transient Receptor Potential channels,['TRPA1']
348,TRPC1,Transient Receptor Potential channels,['TRPC1']
349,TRPC2,Transient Receptor Potential channels,['ENSACAG00000000506']
350,TRPC3,Transient Receptor Potential channels,['TRPC3']
351,TRPC4,Transient Receptor Potential channels,['TRPC4']
352,TRPC5,Transient Receptor Potential channels,['TRPC5']
353,TRPC6,Transient Receptor Potential channels,['TRPC6']
354,TRPC7,Transient Receptor Potential channels,['TRPC7']
355,TRPM1,Transient Receptor Potential channels,['TRPM1']
356,TRPM2,Transient Receptor Potential channels,['TRPM2']
357,TRPM3,Transient Receptor Potential channels,['TRPM3']
358,TRPM4,Transient Receptor Potential channels,['TRPM4']
359,TRPM5,Transient Receptor Potential channels,"['ENSACAG00000007756', 'ENSACAG00000024227']"
360,TRPM6,Transient Receptor Potential channels,['TRPM6']
361,TRPM7,Transient Receptor Potential channels,['TRPM7']
362,TRPM8,Transient Receptor Potential channels,['TRPM8']
363,TRPML1,Transient Receptor Potential channels,['MCOLN1']
364,TRPML2,Transient Receptor Potential channels,['MCOLN2']
365,TRPML3,Transient Receptor Potential channels,['MCOLN3']
366,TRPP1,Transient Receptor Potential channels,['PKD2']
367,TRPP2,Transient Receptor Potential channels,['PKD2L1']
368,TRPP3,Transient Receptor Potential channels,['PKD2L2']
369,TRPV1,Transient Receptor Potential channels,['TRPV1']
370,TRPV2,Transient Receptor Potential channels,['ENSACAG00000006419']
371,TRPV3,Transient Receptor Potential channels,['TRPV3']
372,TRPV6,Transient Receptor Potential channels,"['ENSACAG00000000688', 'ENSACAG00000008362']"
373,K2P1.1,Two P domain potassium channels,['KCNK1']
374,K2P2.1,Two P domain potassium channels,['KCNK2']
375,K2P3.1,Two P domain potassium channels,['KCNK3']
376,K2P5.1,Two P domain potassium channels,['KCNK5']
377,K2P6.1,Two P domain potassium channels,"['KCNK6', 'KCNK6']"
378,K2P9.1,Two P domain potassium channels,['KCNK9']
379,K2P10.1,Two P domain potassium channels,['KCNK10']
380,K2P12.1,Two P domain potassium channels,"['ENSACAG00000014075', 'ENSACAG00000027038']"
381,K2P13.1,Two P domain potassium channels,['KCNK13']
382,K2P15.1,Two P domain potassium channels,['KCNK15']
383,K2P16.1,Two P domain potassium channels,['KCNK16']
384,Cav1.1,Voltage-gated calcium channels,['CACNA1S']
385,Cav1.2,Voltage-gated calcium channels,['CACNA1C']
386,Cav1.3,Voltage-gated calcium channels,"['ENSACAG00000011075', 'ENSACAG00000011653']"
387,Cav1.4,Voltage-gated calcium channels,['CACNA1F']
388,Cav2.1,Voltage-gated calcium channels,"['ENSACAG00000004169', 'ENSACAG00000004786']"
389,Cav2.2,Voltage-gated calcium channels,['CACNA1B']
390,Cav2.3,Voltage-gated calcium channels,['CACNA1E']
391,Cav3.1,Voltage-gated calcium channels,['CACNA1G']
392,Cav3.2,Voltage-gated calcium channels,"['ENSACAG00000012463', 'ENSACAG00000015443']"
393,Kv1.1,Voltage-gated potassium channels,['KCNA1']
394,Kv1.2,Voltage-gated potassium channels,['KCNA2']
395,Kv1.3,Voltage-gated potassium channels,['KCNA3']
396,Kv1.4,Voltage-gated potassium channels,['KCNA4']
397,Kv1.5,Voltage-gated potassium channels,['KCNA5']
398,Kv1.8,Voltage-gated potassium channels,['KCNA10']
399,Kv2.1,Voltage-gated potassium channels,['ENSACAG00000015881']
400,Kv3.1,Voltage-gated potassium channels,['KCNC1']
401,Kv3.2,Voltage-gated potassium channels,['KCNC2']
402,Kv3.4,Voltage-gated potassium channels,['KCNC4']
403,Kv4.3,Voltage-gated potassium channels,"['ENSACAG00000006322', 'ENSACAG00000029137']"
404,Kv5.1,Voltage-gated potassium channels,['KCNF1']
405,Kv6.1,Voltage-gated potassium channels,['KCNG1']
406,Kv6.2,Voltage-gated potassium channels,['KCNG2']
407,Kv6.3,Voltage-gated potassium channels,['ENSACAG00000014457']
408,Kv6.4,Voltage-gated potassium channels,['KCNG4']
409,Kv7.1,Voltage-gated potassium channels,['KCNQ1']
410,Kv7.2,Voltage-gated potassium channels,['KCNQ2']
411,Kv7.3,Voltage-gated potassium channels,['KCNQ3']
412,Kv7.4,Voltage-gated potassium channels,['KCNQ4']
413,Kv7.5,Voltage-gated potassium channels,['KCNQ5']
414,Kv8.1,Voltage-gated potassium channels,['KCNV1']
415,Kv8.2,Voltage-gated potassium channels,['KCNV2']
416,Kv9.1,Voltage-gated potassium channels,['KCNS1']
417,Kv9.2,Voltage-gated potassium channels,['KCNS2']
418,Kv9.3,Voltage-gated potassium channels,['KCNS3']
419,Kv10.1,Voltage-gated potassium channels,['ENSACAG00000001495']
420,Kv10.2,Voltage-gated potassium channels,['KCNH5']
421,Kv11.1,Voltage-gated potassium channels,['KCNH2']
422,Kv11.2,Voltage-gated potassium channels,['KCNH6']
423,Kv11.3,Voltage-gated potassium channels,['KCNH7']
424,Kv12.1,Voltage-gated potassium channels,['KCNH8']
425,Kv12.2,Voltage-gated potassium channels,['KCNH3']
426,Kv12.3,Voltage-gated potassium channels,['KCNH4']
427,Hv1,Voltage-gated proton channel,['HVCN1']
428,Nav1.1,Voltage-gated sodium channels,['SCN1A']
429,Nav1.2,Voltage-gated sodium channels,['SCN2A']
430,Nav1.3,Voltage-gated sodium channels,"['ENSACAG00000001038', 'ENSACAG00000002025']"
431,Nav1.4,Voltage-gated sodium channels,['SCN4A']
432,Nav1.6,Voltage-gated sodium channels,['SCN8A']
433,Nav1.8,Voltage-gated sodium channels,"['ENSACAG00000009159', 'ENSACAG00000009376', 'ENSACAG00000009381', 'ENSACAG00000023598']"
434,5-HT3A,5-HT3 receptors,['HTR3A']
435,ASIC2,Acid-sensing (proton-gated) ion channels (ASICs),['ASIC2']
